transaction_id,date,product_id,quantity,unit_price,total_amount,discount_amount,customer_id,region
57,2024-07-01,96,6,44.11,264.66,66.18,CUST8842,Central
58,2024-07-01,360,4,54.03,216.12,38.12,CUST7730,West
59,2024-07-01,543,1,451.37,451.37,23.76,CUST2208,South
60,2024-07-01,33,3,50.87,152.61,16.95,CUST6194,North
61,2024-07-01,86,5,108.08,540.4,0.0,CUST8372,West
62,2024-07-01,61,3,99.97,299.91,75.0,CUST9476,East
63,2024-07-01,237,3,33.32,99.96,24.99,CUST3102,Central
64,2024-07-01,215,1,124.75,124.75,0.0,CUST3981,South
65,2024-07-01,243,6,140.82,844.92,281.64,CUST8088,Central
66,2024-07-01,556,2,417.12,834.24,0.0,CUST1907,North
67,2024-07-01,365,1,84.44,84.44,0.0,CUST9488,South
68,2024-07-01,327,1,160.18,160.18,28.27,CUST5982,South
69,2024-07-01,459,4,136.88,547.52,182.52,CUST3653,East
70,2024-07-01,33,1,50.87,50.87,5.65,CUST4694,East
71,2024-07-01,527,1,401.69,401.69,70.89,CUST9501,East
72,2024-07-01,369,3,108.77,326.31,81.57,CUST2292,East
73,2024-07-01,399,3,253.5,760.5,84.51,CUST4216,Central
74,2024-07-01,59,1,124.48,124.48,0.0,CUST5496,South
75,2024-07-01,344,2,184.34,368.68,0.0,CUST5961,Central
76,2024-07-01,358,2,93.15,186.3,62.08,CUST9740,North
77,2024-07-01,625,1,250.77,250.77,27.86,CUST9234,South
78,2024-07-01,222,2,124.5,249.0,13.1,CUST3526,South
79,2024-07-01,276,6,136.36,818.16,204.48,CUST6531,Central
80,2024-07-01,482,1,152.39,152.39,8.02,CUST1674,North
81,2024-07-01,242,1,137.45,137.45,15.28,CUST2330,North
82,2024-07-01,333,1,57.48,57.48,0.0,CUST5336,South
83,2024-07-01,365,1,84.44,84.44,0.0,CUST7825,Central
84,2024-07-01,81,3,61.03,183.09,20.34,CUST1496,West
85,2024-07-01,119,1,105.81,105.81,0.0,CUST9938,East
86,2024-07-01,18,4,116.43,465.72,116.4,CUST5949,West
87,2024-07-01,34,6,30.66,183.96,45.96,CUST5012,West
88,2024-07-01,589,1,240.56,240.56,0.0,CUST5873,West
89,2024-07-01,613,3,128.99,386.97,43.02,CUST2195,North
90,2024-07-01,412,3,190.07,570.21,30.0,CUST3589,West
91,2024-07-01,307,1,199.53,199.53,0.0,CUST7809,West
92,2024-07-01,471,3,155.99,467.97,51.99,CUST8609,South
93,2024-07-01,439,1,316.36,316.36,55.83,CUST6573,Central
94,2024-07-01,408,1,397.31,397.31,44.14,CUST3353,East
95,2024-07-01,540,4,111.16,444.64,148.2,CUST6231,East
96,2024-07-01,45,1,128.57,128.57,6.77,CUST7532,South
97,2024-07-01,320,3,97.56,292.68,15.42,CUST7070,Central
98,2024-07-01,19,4,59.6,238.4,0.0,CUST2739,East
99,2024-07-01,551,3,53.22,159.66,68.43,CUST4960,West
100,2024-07-01,187,3,47.17,141.51,24.99,CUST3007,East
101,2024-07-01,39,1,120.27,120.27,0.0,CUST8366,South
102,2024-07-01,391,2,195.63,391.26,43.48,CUST3308,North
103,2024-07-01,199,1,248.68,248.68,13.09,CUST1829,East
104,2024-07-01,404,6,352.85,2117.1,705.72,CUST7293,Central
105,2024-07-01,165,2,143.29,286.58,0.0,CUST7850,South
106,2024-07-01,588,1,181.06,181.06,20.12,CUST3616,East
107,2024-07-01,587,2,200.59,401.18,0.0,CUST6123,South
108,2024-07-01,647,3,155.75,467.25,82.47,CUST3610,West
109,2024-07-01,415,1,362.78,362.78,19.1,CUST9433,West
110,2024-07-01,287,1,123.36,123.36,13.71,CUST9171,East
111,2024-07-01,324,1,161.73,161.73,28.54,CUST9148,North
112,2024-07-01,536,1,183.34,183.34,0.0,CUST2475,West
113,2024-07-01,359,5,177.99,889.95,381.4,CUST9281,West
114,2024-07-01,127,1,246.82,246.82,12.99,CUST4944,South
115,2024-07-01,367,2,188.64,377.28,41.92,CUST6781,North
116,2024-07-01,49,2,83.56,167.12,8.8,CUST1828,East
117,2024-07-01,34,3,30.66,91.98,22.98,CUST9108,Central
118,2024-07-01,56,2,57.67,115.34,0.0,CUST8710,East
119,2024-07-01,279,2,66.18,132.36,0.0,CUST9793,North
120,2024-07-01,225,3,131.59,394.77,0.0,CUST2761,West
121,2024-07-01,523,1,403.82,403.82,44.87,CUST3194,East
122,2024-07-01,8,1,43.64,43.64,0.0,CUST6992,West
123,2024-07-01,526,1,399.25,399.25,44.37,CUST6995,North
124,2024-07-01,591,1,275.51,275.51,14.5,CUST7563,North
125,2024-07-01,507,3,474.83,1424.49,0.0,CUST4189,East
126,2024-07-01,14,1,41.36,41.36,4.6,CUST5728,North
127,2024-07-01,399,3,253.5,760.5,84.51,CUST7329,Central
128,2024-07-01,367,4,188.64,754.56,83.84,CUST8378,Central
129,2024-07-01,24,2,54.47,108.94,12.1,CUST5582,Central
130,2024-07-01,236,4,23.3,93.2,39.92,CUST2946,South
131,2024-07-01,603,4,137.64,550.56,97.16,CUST2584,West
132,2024-07-01,69,1,74.33,74.33,13.11,CUST7114,East
133,2024-07-01,70,2,47.09,94.18,40.36,CUST6990,South
134,2024-07-01,162,1,208.25,208.25,0.0,CUST4261,Central
135,2024-07-01,504,6,289.22,1735.32,433.8,CUST9341,West
136,2024-07-01,270,2,151.65,303.3,0.0,CUST9193,North
137,2024-07-01,38,1,95.11,95.11,16.78,CUST1742,North
138,2024-07-01,157,3,25.79,77.37,33.15,CUST3245,East
139,2024-07-01,529,3,375.47,1126.41,59.28,CUST8761,Central
140,2024-07-01,103,1,193.74,193.74,0.0,CUST8487,South
141,2024-07-01,214,4,119.37,477.48,119.36,CUST9446,South
142,2024-07-01,513,1,451.17,451.17,23.75,CUST6373,Central
143,2024-07-01,118,2,70.31,140.62,24.82,CUST6218,South
144,2024-07-01,436,1,217.99,217.99,0.0,CUST7438,Central
145,2024-07-01,457,2,314.32,628.64,33.1,CUST5902,Central
146,2024-07-01,533,3,203.67,611.01,107.82,CUST6511,Central
147,2024-07-01,116,3,220.14,660.42,73.38,CUST9351,Central
148,2024-07-01,341,2,250.61,501.22,0.0,CUST9025,Central
149,2024-07-01,532,1,375.94,375.94,19.78,CUST5911,West
150,2024-07-01,492,1,97.97,97.97,0.0,CUST1272,East
151,2024-07-01,153,6,158.23,949.38,406.86,CUST6427,North
152,2024-07-01,302,2,77.79,155.58,0.0,CUST7824,Central
153,2024-07-01,296,4,60.74,242.96,26.96,CUST6040,North
154,2024-07-01,30,2,24.59,49.18,2.58,CUST8775,East
155,2024-07-01,286,1,143.46,143.46,25.32,CUST4728,North
156,2024-07-01,227,3,108.4,325.2,108.42,CUST8871,South
157,2024-07-01,424,2,61.89,123.78,53.04,CUST9589,Central
158,2024-07-01,284,3,129.11,387.33,20.4,CUST7229,South
159,2024-07-01,232,1,208.29,208.29,23.14,CUST4968,North
160,2024-07-01,449,2,145.53,291.06,72.78,CUST2800,South
161,2024-07-01,82,2,92.12,184.24,20.48,CUST1310,West
162,2024-07-01,419,3,438.6,1315.8,69.24,CUST6139,West
163,2024-07-01,395,2,116.06,232.12,77.36,CUST3481,West
164,2024-07-01,57,3,112.69,338.07,84.51,CUST4340,West
165,2024-07-01,256,1,185.84,185.84,9.78,CUST9221,Central
166,2024-07-01,291,2,107.78,215.56,92.38,CUST8726,North
167,2024-07-01,414,2,195.56,391.12,20.6,CUST3262,Central
168,2024-07-01,18,3,116.43,349.29,87.3,CUST4397,Central
169,2024-07-01,569,1,246.83,246.83,13.0,CUST6325,West
170,2024-07-01,212,2,51.89,103.78,5.48,CUST9609,West
171,2024-07-01,109,4,100.18,400.72,70.72,CUST6140,South
172,2024-07-01,364,3,57.58,172.74,30.48,CUST8531,Central
173,2024-07-01,415,1,362.78,362.78,19.1,CUST6608,Central
174,2024-07-01,61,6,99.97,599.82,150.0,CUST6804,East
175,2024-07-01,340,2,233.41,466.82,116.7,CUST8932,South
176,2024-07-01,202,6,133.13,798.78,199.74,CUST5038,East
177,2024-07-01,491,2,170.35,340.7,60.12,CUST5890,South
178,2024-07-01,261,4,180.89,723.56,38.12,CUST5876,East
179,2024-07-01,489,4,317.79,1271.16,0.0,CUST4396,West
180,2024-07-01,171,2,154.6,309.2,16.28,CUST6194,West
181,2024-07-01,262,4,233.5,934.0,233.52,CUST6714,Central
182,2024-07-01,589,1,240.56,240.56,0.0,CUST5480,East
183,2024-07-01,562,3,350.37,1051.11,262.77,CUST2996,Central
184,2024-07-01,135,1,127.06,127.06,0.0,CUST9899,West
185,2024-07-01,627,1,61.67,61.67,0.0,CUST7464,East
186,2024-07-01,278,1,253.36,253.36,13.34,CUST3399,East
187,2024-07-01,585,1,31.72,31.72,0.0,CUST1689,East
188,2024-07-01,255,1,243.48,243.48,42.97,CUST2294,East
189,2024-07-01,234,2,85.71,171.42,42.86,CUST8247,East
190,2024-07-01,177,2,207.85,415.7,0.0,CUST8849,South
191,2024-07-01,232,3,208.29,624.87,69.42,CUST4310,Central
192,2024-07-01,112,3,52.53,157.59,8.28,CUST5442,Central
193,2024-07-01,2,2,103.64,207.28,23.04,CUST5450,South
194,2024-07-01,391,1,195.63,195.63,21.74,CUST2789,Central
195,2024-07-01,636,3,174.12,522.36,130.59,CUST4920,South
196,2024-07-01,480,2,106.1,212.2,37.46,CUST1831,Central
197,2024-07-01,304,2,81.42,162.84,8.58,CUST4697,South
198,2024-07-01,124,5,101.93,509.65,218.4,CUST1860,North
199,2024-07-01,475,1,398.93,398.93,44.32,CUST7771,East
200,2024-07-01,403,2,204.73,409.46,72.26,CUST8739,North
201,2024-07-01,284,2,129.11,258.22,13.6,CUST3252,North
202,2024-07-01,159,3,140.42,421.26,0.0,CUST3587,West
203,2024-07-01,533,4,203.67,814.68,143.76,CUST8793,West
204,2024-07-01,21,1,34.07,34.07,1.79,CUST4267,East
205,2024-07-01,70,2,47.09,94.18,40.36,CUST6262,East
206,2024-07-01,331,2,88.3,176.6,75.7,CUST1969,North
207,2024-07-01,12,1,55.08,55.08,2.9,CUST4804,Central
208,2024-07-01,56,1,57.67,57.67,0.0,CUST1611,South
209,2024-07-01,49,2,83.56,167.12,8.8,CUST7846,South
210,2024-07-01,187,1,47.17,47.17,8.33,CUST1595,West
211,2024-07-01,217,3,196.92,590.76,0.0,CUST9116,South
212,2024-07-01,66,3,74.26,222.78,0.0,CUST5742,North
213,2024-07-01,469,5,43.71,218.55,72.85,CUST1151,East
214,2024-07-01,199,1,248.68,248.68,13.09,CUST2758,East
215,2024-07-01,275,5,144.91,724.55,127.85,CUST5662,West
216,2024-07-01,35,2,20.78,41.56,17.82,CUST9901,Central
217,2024-07-01,147,1,239.5,239.5,12.6,CUST9092,South
218,2024-07-01,333,1,57.48,57.48,0.0,CUST9261,West
219,2024-07-01,235,4,63.26,253.04,108.44,CUST5470,South
220,2024-07-01,17,3,21.34,64.02,21.36,CUST2845,East
221,2024-07-01,169,1,221.83,221.83,39.14,CUST3662,West
222,2024-07-01,583,3,58.72,176.16,44.07,CUST5215,South
223,2024-07-01,152,4,158.37,633.48,70.4,CUST1230,East
224,2024-07-01,574,1,208.51,208.51,36.8,CUST5833,Central
225,2024-07-01,313,1,187.08,187.08,9.85,CUST4164,South
226,2024-07-01,36,3,120.39,361.17,0.0,CUST7643,West
227,2024-07-01,304,1,81.42,81.42,4.29,CUST9442,East
228,2024-07-01,358,3,93.15,279.45,93.12,CUST2421,West
229,2024-07-01,345,2,237.76,475.52,0.0,CUST2562,South
230,2024-07-01,557,1,135.65,135.65,15.07,CUST3303,West
231,2024-07-01,311,3,79.82,239.46,0.0,CUST6301,South
232,2024-07-01,220,1,220.69,220.69,0.0,CUST1111,East
233,2024-07-01,594,3,215.73,647.19,0.0,CUST7284,South
234,2024-07-01,167,1,33.89,33.89,0.0,CUST8319,East
235,2024-07-01,515,4,154.88,619.52,154.88,CUST6400,East
236,2024-07-01,244,1,42.27,42.27,0.0,CUST1187,East
237,2024-07-02,383,1,35.15,35.15,3.9,CUST4871,North
238,2024-07-02,601,1,234.73,234.73,0.0,CUST2936,West
239,2024-07-02,503,3,351.01,1053.03,185.82,CUST6026,South
240,2024-07-02,597,1,111.05,111.05,12.34,CUST7642,Central
241,2024-07-02,371,3,147.18,441.54,23.22,CUST6095,North
242,2024-07-02,154,3,160.93,482.79,25.41,CUST5833,East
243,2024-07-02,522,3,174.09,522.27,58.05,CUST4618,South
244,2024-07-02,366,4,59.48,237.92,59.48,CUST3188,West
245,2024-07-02,5,3,83.42,250.26,44.16,CUST3509,West
246,2024-07-02,576,4,177.01,708.04,177.0,CUST7121,West
247,2024-07-02,445,4,94.75,379.0,0.0,CUST9998,West
248,2024-07-02,92,2,112.17,224.34,56.08,CUST9806,South
249,2024-07-02,353,5,32.98,164.9,70.65,CUST5054,Central
250,2024-07-02,338,2,98.57,197.14,84.48,CUST2341,Central
251,2024-07-02,112,2,52.53,105.06,5.52,CUST8319,Central
252,2024-07-02,259,2,105.32,210.64,52.66,CUST6927,North
253,2024-07-02,70,2,47.09,94.18,40.36,CUST2838,North
254,2024-07-02,458,1,283.5,283.5,14.92,CUST9972,Central
255,2024-07-02,361,2,283.35,566.7,0.0,CUST4312,Central
256,2024-07-02,257,3,225.47,676.41,169.11,CUST9792,South
257,2024-07-02,455,2,158.4,316.8,16.68,CUST3695,East
258,2024-07-02,71,2,145.12,290.24,0.0,CUST9525,West
259,2024-07-02,476,1,272.2,272.2,48.03,CUST2904,South
260,2024-07-02,423,3,111.05,333.15,17.55,CUST9008,North
261,2024-07-02,612,3,110.05,330.15,110.04,CUST9361,West
262,2024-07-02,423,1,111.05,111.05,5.85,CUST1911,West
263,2024-07-02,609,3,44.41,133.23,23.49,CUST3161,Central
264,2024-07-02,156,5,148.52,742.6,0.0,CUST7806,West
265,2024-07-02,145,1,96.63,96.63,10.74,CUST1945,Central
266,2024-07-02,546,2,426.81,853.62,94.84,CUST8575,East
267,2024-07-02,85,1,22.77,22.77,2.53,CUST1356,West
268,2024-07-02,301,1,75.61,75.61,0.0,CUST5169,North
269,2024-07-02,17,5,21.34,106.7,35.6,CUST4570,Central
270,2024-07-02,362,1,40.76,40.76,7.19,CUST2196,North
271,2024-07-02,433,1,207.31,207.31,23.03,CUST7941,East
272,2024-07-02,559,3,72.94,218.82,54.69,CUST2044,Central
273,2024-07-02,557,2,135.65,271.3,30.14,CUST1987,North
274,2024-07-02,2,1,103.64,103.64,11.52,CUST8734,North
275,2024-07-02,436,3,217.99,653.97,0.0,CUST5703,West
276,2024-07-02,391,2,195.63,391.26,43.48,CUST3948,South
277,2024-07-02,518,2,71.93,143.86,25.4,CUST7887,East
278,2024-07-02,373,5,74.16,370.8,92.7,CUST7266,West
279,2024-07-02,112,3,52.53,157.59,8.28,CUST7184,West
280,2024-07-02,379,2,177.68,355.36,39.48,CUST2314,Central
281,2024-07-02,610,1,206.72,206.72,0.0,CUST3178,East
282,2024-07-02,421,1,47.51,47.51,8.38,CUST2943,South
283,2024-07-02,11,2,99.54,199.08,0.0,CUST9802,West
284,2024-07-02,50,1,23.3,23.3,0.0,CUST9664,South
285,2024-07-02,576,4,177.01,708.04,177.0,CUST4648,North
286,2024-07-02,154,2,160.93,321.86,16.94,CUST1372,East
287,2024-07-02,152,1,158.37,158.37,17.6,CUST8585,Central
288,2024-07-02,46,1,30.22,30.22,5.33,CUST7948,Central
289,2024-07-02,473,1,142.89,142.89,0.0,CUST7214,South
290,2024-07-02,441,1,130.89,130.89,23.09,CUST5055,West
291,2024-07-02,614,4,137.35,549.4,0.0,CUST6671,South
292,2024-07-02,104,1,48.79,48.79,8.61,CUST5516,South
293,2024-07-02,381,1,67.4,67.4,3.55,CUST2848,North
294,2024-07-02,342,2,64.72,129.44,22.84,CUST7868,Central
295,2024-07-02,264,2,142.0,284.0,0.0,CUST1256,South
296,2024-07-02,268,6,178.22,1069.32,356.46,CUST4376,North
297,2024-07-02,133,3,226.86,680.58,120.09,CUST2653,Central
298,2024-07-02,429,1,63.12,63.12,3.33,CUST1550,West
299,2024-07-02,252,6,90.86,545.16,136.26,CUST1797,South
300,2024-07-02,483,2,170.92,341.84,17.98,CUST1724,West
301,2024-07-02,129,3,240.35,721.05,127.23,CUST8191,South
302,2024-07-02,449,2,145.53,291.06,72.78,CUST9843,South
303,2024-07-02,124,4,101.93,407.72,174.72,CUST1924,South
304,2024-07-02,218,4,44.8,179.2,31.64,CUST9255,East
305,2024-07-02,289,4,52.28,209.12,69.72,CUST4836,Central
306,2024-07-02,530,2,239.35,478.7,53.18,CUST6224,Central
307,2024-07-02,284,3,129.11,387.33,20.4,CUST6253,South
308,2024-07-02,160,1,72.24,72.24,0.0,CUST5944,South
309,2024-07-02,327,2,160.18,320.36,56.54,CUST9540,South
310,2024-07-02,329,2,101.29,202.58,10.66,CUST7775,East
311,2024-07-02,528,1,474.12,474.12,24.95,CUST5508,North
312,2024-07-02,310,2,210.52,421.04,74.3,CUST3869,West
313,2024-07-02,265,4,36.18,144.72,36.16,CUST9120,North
314,2024-07-02,378,1,57.46,57.46,10.14,CUST6642,West
315,2024-07-02,444,1,343.74,343.74,0.0,CUST9592,East
316,2024-07-02,76,1,138.07,138.07,0.0,CUST7821,West
317,2024-07-02,274,1,51.56,51.56,9.1,CUST3444,East
318,2024-07-02,108,5,222.29,1111.45,0.0,CUST7167,South
319,2024-07-02,456,1,315.63,315.63,0.0,CUST9813,West
320,2024-07-02,518,1,71.93,71.93,12.7,CUST4948,South
321,2024-07-02,32,4,121.35,485.4,25.56,CUST5927,South
322,2024-07-02,521,3,248.86,746.58,131.73,CUST8586,North
323,2024-07-02,180,1,255.48,255.48,28.38,CUST7761,West
324,2024-07-02,149,1,237.9,237.9,0.0,CUST9683,South
325,2024-07-02,386,6,47.9,287.4,71.82,CUST7363,South
326,2024-07-02,353,3,32.98,98.94,42.39,CUST5177,South
327,2024-07-02,611,3,286.73,860.19,0.0,CUST6411,North
328,2024-07-02,29,2,31.5,63.0,0.0,CUST8369,East
329,2024-07-02,511,3,363.84,1091.52,0.0,CUST2514,Central
330,2024-07-02,637,1,240.56,240.56,0.0,CUST4120,North
331,2024-07-02,94,3,225.58,676.74,75.21,CUST5398,West
332,2024-07-02,173,3,123.84,371.52,41.28,CUST1647,North
333,2024-07-02,407,2,79.57,159.14,53.06,CUST4082,Central
334,2024-07-02,355,1,83.94,83.94,14.81,CUST4555,West
335,2024-07-02,471,1,155.99,155.99,17.33,CUST4422,East
336,2024-07-02,478,2,226.52,453.04,23.86,CUST5967,North
337,2024-07-02,453,2,191.71,383.42,95.86,CUST4470,South
338,2024-07-02,367,2,188.64,377.28,41.92,CUST2922,West
339,2024-07-02,593,2,43.26,86.52,28.84,CUST4974,Central
340,2024-07-02,352,3,120.88,362.64,0.0,CUST4350,West
341,2024-07-02,290,1,162.87,162.87,0.0,CUST4921,Central
342,2024-07-02,466,6,90.17,541.02,135.24,CUST6269,East
343,2024-07-02,127,1,246.82,246.82,12.99,CUST7236,West
344,2024-07-02,315,1,39.9,39.9,0.0,CUST9743,East
345,2024-07-02,117,1,176.48,176.48,9.28,CUST6053,East
346,2024-07-02,41,3,118.98,356.94,39.66,CUST6892,Central
347,2024-07-02,543,4,451.37,1805.48,95.04,CUST9147,West
348,2024-07-02,104,2,48.79,97.58,17.22,CUST2615,West
349,2024-07-02,231,2,55.56,111.12,12.34,CUST6246,South
350,2024-07-02,330,2,183.96,367.92,40.88,CUST7073,East
351,2024-07-02,318,1,55.99,55.99,2.95,CUST7781,North
352,2024-07-02,400,3,272.62,817.86,272.61,CUST4625,South
353,2024-07-02,17,2,21.34,42.68,14.24,CUST1265,East
354,2024-07-02,261,1,180.89,180.89,9.53,CUST7841,East
355,2024-07-02,110,2,164.32,328.64,82.16,CUST3497,South
356,2024-07-02,625,2,250.77,501.54,55.72,CUST6404,South
357,2024-07-02,113,2,101.6,203.2,0.0,CUST7223,Central
358,2024-07-02,514,3,350.34,1051.02,262.74,CUST5026,West
359,2024-07-02,608,3,217.29,651.87,0.0,CUST6530,East
360,2024-07-02,572,3,191.76,575.28,63.9,CUST9005,West
361,2024-07-02,11,2,99.54,199.08,0.0,CUST8550,South
362,2024-07-02,420,1,280.14,280.14,31.12,CUST6770,South
363,2024-07-02,32,3,121.35,364.05,19.17,CUST3293,Central
364,2024-07-02,260,1,296.56,296.56,0.0,CUST9000,South
365,2024-07-02,100,4,229.09,916.36,161.68,CUST9882,North
366,2024-07-02,49,3,83.56,250.68,13.2,CUST9584,North
367,2024-07-02,139,1,220.99,220.99,24.55,CUST2217,North
368,2024-07-02,6,2,15.87,31.74,13.62,CUST1104,West
369,2024-07-02,605,3,72.72,218.16,93.48,CUST3252,South
370,2024-07-02,338,5,98.57,492.85,211.2,CUST2113,South
371,2024-07-02,270,2,151.65,303.3,0.0,CUST1149,South
372,2024-07-02,297,1,75.15,75.15,3.96,CUST9285,West
373,2024-07-02,156,2,148.52,297.04,0.0,CUST7114,North
374,2024-07-02,582,1,102.41,102.41,18.07,CUST8916,West
375,2024-07-02,365,1,84.44,84.44,0.0,CUST1257,North
376,2024-07-02,285,2,260.42,520.84,27.4,CUST9719,Central
377,2024-07-02,636,3,174.12,522.36,130.59,CUST7739,North
378,2024-07-02,368,3,101.51,304.53,76.11,CUST1274,Central
379,2024-07-02,287,1,123.36,123.36,13.71,CUST5501,Central
380,2024-07-02,67,1,33.8,33.8,1.78,CUST5697,North
381,2024-07-02,552,6,335.78,2014.68,671.52,CUST9228,West
382,2024-07-02,151,1,39.56,39.56,4.39,CUST3937,North
383,2024-07-02,63,3,47.15,141.45,7.44,CUST2578,Central
384,2024-07-02,497,2,155.22,310.44,34.5,CUST3439,South
385,2024-07-02,237,2,33.32,66.64,16.66,CUST4144,Central
386,2024-07-02,623,1,211.93,211.93,23.55,CUST9625,East
387,2024-07-02,525,2,441.54,883.08,0.0,CUST6807,East
388,2024-07-02,341,4,250.61,1002.44,0.0,CUST7502,North
389,2024-07-02,156,1,148.52,148.52,0.0,CUST7112,West
390,2024-07-02,485,1,289.64,289.64,15.24,CUST8520,Central
391,2024-07-02,130,1,183.92,183.92,0.0,CUST4984,South
392,2024-07-02,471,1,155.99,155.99,17.33,CUST5914,North
393,2024-07-02,492,2,97.97,195.94,0.0,CUST1519,North
394,2024-07-02,186,3,57.21,171.63,0.0,CUST7640,West
395,2024-07-02,366,6,59.48,356.88,89.22,CUST7179,Central
396,2024-07-02,186,1,57.21,57.21,0.0,CUST8798,North
397,2024-07-02,248,1,147.44,147.44,7.76,CUST1154,South
398,2024-07-02,50,1,23.3,23.3,0.0,CUST2354,West
399,2024-07-02,209,3,103.71,311.13,16.38,CUST8109,East
400,2024-07-02,552,4,335.78,1343.12,447.68,CUST2562,Central
401,2024-07-02,40,2,66.6,133.2,0.0,CUST1697,South
402,2024-07-02,599,4,204.99,819.96,351.4,CUST4463,Central
403,2024-07-02,542,2,190.33,380.66,95.16,CUST8790,East
404,2024-07-02,478,1,226.52,226.52,11.93,CUST1762,North
405,2024-07-02,47,1,107.01,107.01,11.89,CUST5593,Central
406,2024-07-02,290,4,162.87,651.48,0.0,CUST1539,South
407,2024-07-02,550,5,380.77,1903.85,100.2,CUST6152,North
408,2024-07-02,257,2,225.47,450.94,112.74,CUST4394,Central
409,2024-07-02,504,3,289.22,867.66,216.9,CUST3362,West
410,2024-07-02,577,3,185.57,556.71,98.25,CUST2260,East
411,2024-07-02,604,2,203.77,407.54,21.44,CUST3661,Central
412,2024-07-02,287,2,123.36,246.72,27.42,CUST4939,Central
413,2024-07-02,521,2,248.86,497.72,87.82,CUST7375,Central
414,2024-07-02,134,3,185.47,556.41,98.16,CUST6435,West
415,2024-07-02,460,1,393.62,393.62,0.0,CUST3292,North
416,2024-07-02,447,1,402.42,402.42,21.18,CUST9204,East
417,2024-07-02,261,2,180.89,361.78,19.06,CUST1879,North
418,2024-07-02,200,2,197.82,395.64,69.84,CUST8161,South
